id, role, department, user, password
0, Doctor, Cancer, per, ZdgvjGoyHuFDEO3eI5UZNA==Vl9R8gzbQ9vdCNSXEfjE85t1XLjghGTlM31tVZOUb64=
1, Doctor, Emergency, per2, yZ7eFXs8jZMC7sfyQoxVzQ==N9USCSPWtCGAeOTq0sGkw4M50Z/NaDtG8m0ERVAx0FI=
2, Doctor, MRI, anita, jwAuM0iI1UaZ4L8GHVJqJw==w3y9hRVQLCT91pdmG1sVIpvZHRuOhRjAHJhitmH9VQw=
3, Nurse, MRI, pelle, MZN0+Y465NROg9Ymy4rNvQ==s9NrHo7XjbSdRpBjMyxvdrecoPIsv8tJgIr1M+S12EE=
4, Nurse, MRI, gustav, SRQjXMIKj4TqoEeoeXqMOw==ozWY35Pmx9jXqW7O1+BM33AZp26eqUZKPIBXxf2Z0/0=
5, Nurse, Emergency, 2cool, kZNPmTjJ0PahsbSD558++g==Ezo8O12t91kXTNOL9epZZlI07VOpzG/UOX2zF+JRwk4=
6, Patient, -, boop, 98MTS6wp48uhdjlxmVSBCQ==R4z8NaWmmFBSDeXzGCc4WlQGwxURORidwhI0S1PV9B4=
7, Patient, Cancer, harCancer, A15LxnIU/k3dYZ3RpFz6iQ==XHQBloknKzgsVLECwZOeyZ4+lfYptNZ9+2EiSc5IX/g=
8, Patient, -, harInteCancer, 2IrR3F2HQdapFh1vkSCKTQ==AKVGLy6/RxllPKYTrvSLRzcqpVC1oMHUdQfohsV/qQ0=
9, Patient, -, aaa, E6uaDXtxTc5ZDw8Fgq0XbQ==fwGQPtO/fiOQxtxRPXxmmArnw3bEh41Y/7xuH9mtmRY=
10, Patient, -, bbb, +Jdri5HZtHYjHILu1DHf9g==lFft55YtveyWr26ZqL+Uz+Byw/DS5KO76AzZaVWhXU0=
11, Government, -, iluminati, V+t3c595dXLlkPXY+4Jnxw==wI5kX+quwuYxV8ea0M9A9oo7ngiv4MvHfowyJWdToU8=
12, Doctor, Cancer, per, vO5ObM7+1O4Uf0ANq+bX7A==JGSwdNGOnLHonuz0KSDeb9/xcVKTiTce8SSPEYSrSnU=
